
2025/02/05 (17:38:36) | ===> btop++ v.1.4.0
2025/02/05 (17:38:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/05 (18:06:42) | WARNING: Failed to join _runner thread on exit!

2025/02/05 (18:09:30) | ===> btop++ v.1.4.0
2025/02/05 (18:09:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/05 (18:09:40) | WARNING: Failed to join _runner thread on exit!

2025/02/05 (20:38:26) | ===> btop++ v.1.4.0
2025/02/05 (20:38:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/05 (20:38:28) | WARNING: Failed to join _runner thread on exit!

2025/02/05 (20:41:50) | ===> btop++ v.1.4.0
2025/02/05 (20:41:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/05 (22:15:41) | ===> btop++ v.1.4.0
2025/02/05 (22:15:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/05 (22:19:56) | WARNING: Failed to join _runner thread on exit!
2025/02/06 (09:33:55) | ERROR: Stall in Runner thread, restarting!

2025/02/06 (14:14:51) | ===> btop++ v.1.4.0
2025/02/06 (14:14:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/06 (17:12:55) | ===> btop++ v.1.4.0
2025/02/06 (17:12:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/12 (10:04:42) | ===> btop++ v.1.4.0
2025/02/12 (10:04:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/12 (10:04:51) | WARNING: Failed to join _runner thread on exit!

2025/02/12 (10:10:42) | ===> btop++ v.1.4.0
2025/02/12 (10:10:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/12 (10:10:44) | WARNING: Failed to join _runner thread on exit!

2025/02/12 (10:13:27) | ===> btop++ v.1.4.0
2025/02/12 (10:13:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/12 (10:13:50) | WARNING: Failed to join _runner thread on exit!

2025/02/12 (12:03:10) | ===> btop++ v.1.4.0
2025/02/12 (12:03:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/12 (12:03:23) | WARNING: Failed to join _runner thread on exit!

2025/02/12 (12:29:16) | ===> btop++ v.1.4.0
2025/02/12 (12:29:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/12 (12:29:21) | WARNING: Failed to join _runner thread on exit!

2025/02/12 (13:25:32) | ===> btop++ v.1.4.0
2025/02/12 (13:25:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/12 (18:01:10) | ===> btop++ v.1.4.0
2025/02/12 (18:01:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/12 (18:01:25) | WARNING: Failed to join _runner thread on exit!

2025/02/12 (18:02:30) | ===> btop++ v.1.4.0
2025/02/12 (18:02:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/12 (18:02:38) | WARNING: Failed to join _runner thread on exit!
